date,year,month_number,month_name,day_of_month,day_of_week,year_month
2020-09-20,2020,9,September,20,7,2020-09
2020-09-21,2020,9,September,21,1,2020-09
2020-09-22,2020,9,September,22,2,2020-09
2020-09-23,2020,9,September,23,3,2020-09
2020-09-24,2020,9,September,24,4,2020-09
2020-09-25,2020,9,September,25,5,2020-09
2020-09-26,2020,9,September,26,6,2020-09
2020-09-27,2020,9,September,27,7,2020-09
2020-09-28,2020,9,September,28,1,2020-09
2020-09-29,2020,9,September,29,2,2020-09
2020-09-30,2020,9,September,30,3,2020-09
2020-10-01,2020,10,October,1,4,2020-10
2020-10-02,2020,10,October,2,5,2020-10
2020-10-03,2020,10,October,3,6,2020-10
2020-10-04,2020,10,October,4,7,2020-10
2020-10-05,2020,10,October,5,1,2020-10
2020-10-06,2020,10,October,6,2,2020-10
2020-10-07,2020,10,October,7,3,2020-10
2020-10-08,2020,10,October,8,4,2020-10
2020-10-09,2020,10,October,9,5,2020-10
2020-10-10,2020,10,October,10,6,2020-10
2020-10-11,2020,10,October,11,7,2020-10
2020-10-12,2020,10,October,12,1,2020-10
2020-10-13,2020,10,October,13,2,2020-10
2020-10-14,2020,10,October,14,3,2020-10
2020-10-15,2020,10,October,15,4,2020-10
2020-10-16,2020,10,October,16,5,2020-10
2020-10-17,2020,10,October,17,6,2020-10
2020-10-18,2020,10,October,18,7,2020-10
2020-10-19,2020,10,October,19,1,2020-10
2020-10-20,2020,10,October,20,2,2020-10
2020-10-21,2020,10,October,21,3,2020-10
2020-10-22,2020,10,October,22,4,2020-10
2020-10-23,2020,10,October,23,5,2020-10
2020-10-24,2020,10,October,24,6,2020-10
2020-10-25,2020,10,October,25,7,2020-10
2020-10-26,2020,10,October,26,1,2020-10
2020-10-27,2020,10,October,27,2,2020-10
2020-10-28,2020,10,October,28,3,2020-10
2020-10-29,2020,10,October,29,4,2020-10
2020-10-30,2020,10,October,30,5,2020-10
2020-10-31,2020,10,October,31,6,2020-10
2020-11-01,2020,11,November,1,7,2020-11
2020-11-02,2020,11,November,2,1,2020-11
2020-11-03,2020,11,November,3,2,2020-11
2020-11-04,2020,11,November,4,3,2020-11
2020-11-05,2020,11,November,5,4,2020-11
2020-11-06,2020,11,November,6,5,2020-11
2020-11-07,2020,11,November,7,6,2020-11
2020-11-08,2020,11,November,8,7,2020-11
2020-11-09,2020,11,November,9,1,2020-11
2020-11-10,2020,11,November,10,2,2020-11
2020-11-11,2020,11,November,11,3,2020-11
2020-11-12,2020,11,November,12,4,2020-11
2020-11-13,2020,11,November,13,5,2020-11
2020-11-14,2020,11,November,14,6,2020-11
2020-11-15,2020,11,November,15,7,2020-11
2020-11-16,2020,11,November,16,1,2020-11
2020-11-17,2020,11,November,17,2,2020-11
2020-11-18,2020,11,November,18,3,2020-11
2020-11-19,2020,11,November,19,4,2020-11
2020-11-20,2020,11,November,20,5,2020-11
2020-11-21,2020,11,November,21,6,2020-11
2020-11-22,2020,11,November,22,7,2020-11
2020-11-23,2020,11,November,23,1,2020-11
2020-11-24,2020,11,November,24,2,2020-11
2020-11-25,2020,11,November,25,3,2020-11
2020-11-26,2020,11,November,26,4,2020-11
2020-11-27,2020,11,November,27,5,2020-11
2020-11-28,2020,11,November,28,6,2020-11
2020-11-29,2020,11,November,29,7,2020-11
2020-11-30,2020,11,November,30,1,2020-11
2020-12-01,2020,12,December,1,2,2020-12
2020-12-02,2020,12,December,2,3,2020-12
2020-12-03,2020,12,December,3,4,2020-12
2020-12-04,2020,12,December,4,5,2020-12
2020-12-05,2020,12,December,5,6,2020-12
2020-12-06,2020,12,December,6,7,2020-12
2020-12-07,2020,12,December,7,1,2020-12
2020-12-08,2020,12,December,8,2,2020-12
2020-12-09,2020,12,December,9,3,2020-12
2020-12-10,2020,12,December,10,4,2020-12
2020-12-11,2020,12,December,11,5,2020-12
2020-12-12,2020,12,December,12,6,2020-12
2020-12-13,2020,12,December,13,7,2020-12
2020-12-14,2020,12,December,14,1,2020-12
2020-12-15,2020,12,December,15,2,2020-12
2020-12-16,2020,12,December,16,3,2020-12
2020-12-17,2020,12,December,17,4,2020-12
2020-12-18,2020,12,December,18,5,2020-12
2020-12-19,2020,12,December,19,6,2020-12
2020-12-20,2020,12,December,20,7,2020-12
2020-12-21,2020,12,December,21,1,2020-12
2020-12-22,2020,12,December,22,2,2020-12
2020-12-23,2020,12,December,23,3,2020-12
2020-12-24,2020,12,December,24,4,2020-12
2020-12-25,2020,12,December,25,5,2020-12
2020-12-26,2020,12,December,26,6,2020-12
2020-12-27,2020,12,December,27,7,2020-12
2020-12-28,2020,12,December,28,1,2020-12
2020-12-29,2020,12,December,29,2,2020-12
2020-12-30,2020,12,December,30,3,2020-12
2020-12-31,2020,12,December,31,4,2020-12
2021-01-01,2021,1,January,1,5,2021-01
2021-01-02,2021,1,January,2,6,2021-01
2021-01-03,2021,1,January,3,7,2021-01
2021-01-04,2021,1,January,4,1,2021-01
2021-01-05,2021,1,January,5,2,2021-01
2021-01-06,2021,1,January,6,3,2021-01
2021-01-07,2021,1,January,7,4,2021-01
2021-01-08,2021,1,January,8,5,2021-01
2021-01-09,2021,1,January,9,6,2021-01
2021-01-10,2021,1,January,10,7,2021-01
2021-01-11,2021,1,January,11,1,2021-01
2021-01-12,2021,1,January,12,2,2021-01
2021-01-13,2021,1,January,13,3,2021-01
2021-01-14,2021,1,January,14,4,2021-01
2021-01-15,2021,1,January,15,5,2021-01
2021-01-16,2021,1,January,16,6,2021-01
2021-01-17,2021,1,January,17,7,2021-01
2021-01-18,2021,1,January,18,1,2021-01
2021-01-19,2021,1,January,19,2,2021-01
2021-01-20,2021,1,January,20,3,2021-01
2021-01-21,2021,1,January,21,4,2021-01
2021-01-22,2021,1,January,22,5,2021-01
2021-01-23,2021,1,January,23,6,2021-01
2021-01-24,2021,1,January,24,7,2021-01
2021-01-25,2021,1,January,25,1,2021-01
2021-01-26,2021,1,January,26,2,2021-01
2021-01-27,2021,1,January,27,3,2021-01
2021-01-28,2021,1,January,28,4,2021-01
2021-01-29,2021,1,January,29,5,2021-01
2021-01-30,2021,1,January,30,6,2021-01
2021-01-31,2021,1,January,31,7,2021-01
2021-02-01,2021,2,February,1,1,2021-02
2021-02-02,2021,2,February,2,2,2021-02
2021-02-03,2021,2,February,3,3,2021-02
2021-02-04,2021,2,February,4,4,2021-02
2021-02-05,2021,2,February,5,5,2021-02
2021-02-06,2021,2,February,6,6,2021-02
2021-02-07,2021,2,February,7,7,2021-02
2021-02-08,2021,2,February,8,1,2021-02
2021-02-09,2021,2,February,9,2,2021-02
2021-02-10,2021,2,February,10,3,2021-02
2021-02-11,2021,2,February,11,4,2021-02
2021-02-12,2021,2,February,12,5,2021-02
2021-02-13,2021,2,February,13,6,2021-02
2021-02-14,2021,2,February,14,7,2021-02
2021-02-15,2021,2,February,15,1,2021-02
2021-02-16,2021,2,February,16,2,2021-02
2021-02-17,2021,2,February,17,3,2021-02
2021-02-18,2021,2,February,18,4,2021-02
2021-02-19,2021,2,February,19,5,2021-02
2021-02-20,2021,2,February,20,6,2021-02
2021-02-21,2021,2,February,21,7,2021-02
2021-02-22,2021,2,February,22,1,2021-02
2021-02-23,2021,2,February,23,2,2021-02
2021-02-24,2021,2,February,24,3,2021-02
2021-02-25,2021,2,February,25,4,2021-02
2021-02-26,2021,2,February,26,5,2021-02
2021-02-27,2021,2,February,27,6,2021-02
2021-02-28,2021,2,February,28,7,2021-02
2021-03-01,2021,3,March,1,1,2021-03
2021-03-02,2021,3,March,2,2,2021-03
2021-03-03,2021,3,March,3,3,2021-03
2021-03-04,2021,3,March,4,4,2021-03
2021-03-05,2021,3,March,5,5,2021-03
2021-03-06,2021,3,March,6,6,2021-03
2021-03-07,2021,3,March,7,7,2021-03
2021-03-08,2021,3,March,8,1,2021-03
2021-03-09,2021,3,March,9,2,2021-03
2021-03-10,2021,3,March,10,3,2021-03
2021-03-11,2021,3,March,11,4,2021-03
2021-03-12,2021,3,March,12,5,2021-03
2021-03-13,2021,3,March,13,6,2021-03
2021-03-14,2021,3,March,14,7,2021-03
2021-03-15,2021,3,March,15,1,2021-03
2021-03-16,2021,3,March,16,2,2021-03
2021-03-17,2021,3,March,17,3,2021-03
2021-03-18,2021,3,March,18,4,2021-03
2021-03-19,2021,3,March,19,5,2021-03
2021-03-20,2021,3,March,20,6,2021-03
2021-03-21,2021,3,March,21,7,2021-03
2021-03-22,2021,3,March,22,1,2021-03
2021-03-23,2021,3,March,23,2,2021-03
2021-03-24,2021,3,March,24,3,2021-03
